punto,lat,lon,elevation
0,19.494111,-102.456011,1551.0
1,19.449708,-102.535728,1319.0
2,19.49376,-102.535728,1303.0
3,19.537812,-102.535728,1172.0
4,19.449708,-102.495513,1504.0
5,19.49376,-102.495513,1420.0
6,19.537812,-102.495513,1275.0
7,19.449708,-102.455297,1743.0
8,19.49376,-102.455297,1559.0
9,19.537812,-102.455297,1420.0
10,19.449708,-102.415082,2066.0
11,19.49376,-102.415082,1810.0
12,19.537812,-102.415082,1594.0
13,19.449708,-102.374867,2441.0
14,19.49376,-102.374867,2047.0
15,19.537812,-102.374867,1827.0
