punto,lat,lon,elevation
0,20.737089,-100.79732,1975.0
1,20.737143,-100.938942,1966.0
2,20.784205,-100.938942,2008.0
3,20.737143,-100.885037,1927.0
4,20.784205,-100.885037,2126.0
5,20.690081,-100.831133,1825.0
6,20.737143,-100.831133,1932.0
7,20.784205,-100.831133,1874.0
8,20.690081,-100.777228,1788.0
9,20.737143,-100.777228,1805.0
10,20.784205,-100.777228,1893.0
11,20.690081,-100.723323,1900.0
12,20.737143,-100.723323,1833.0
13,20.784205,-100.723323,2102.0
14,20.690081,-100.669419,2328.0
15,20.737143,-100.669419,1968.0
16,20.784205,-100.669419,2001.0
