punto,lat,lon,elevation
0,21.604282,-101.476239,2243.0
1,21.453481,-101.570072,2306.0
2,21.528777,-101.570072,2272.0
3,21.604072,-101.570072,2280.0
4,21.679368,-101.570072,2158.0
5,21.754663,-101.570072,2214.0
6,21.453481,-101.498875,2187.0
7,21.528777,-101.498875,2181.0
8,21.604072,-101.498875,2278.0
9,21.679368,-101.498875,2287.0
10,21.754663,-101.498875,2238.0
11,21.453481,-101.427677,2305.0
12,21.528777,-101.427677,2214.0
13,21.604072,-101.427677,2183.0
14,21.754663,-101.427677,2178.0
15,21.453481,-101.35648,2532.0
16,21.528777,-101.35648,2294.0
17,21.604072,-101.35648,2560.0
