punto,lat,lon,elevation
0,17.817179,-98.166431,1260.0
1,17.811964,-98.18938,1466.0
2,17.822895,-98.18938,1371.0
3,17.833826,-98.18938,1236.0
4,17.811964,-98.177798,1463.0
5,17.822895,-98.177798,1398.0
6,17.833826,-98.177798,1401.0
7,17.811964,-98.166216,1241.0
8,17.822895,-98.166216,1243.0
9,17.833826,-98.166216,1256.0
10,17.801033,-98.154634,1128.0
11,17.811964,-98.154634,1156.0
12,17.822895,-98.154634,1096.0
13,17.833826,-98.154634,1097.0
14,17.801033,-98.143052,1082.0
15,17.811964,-98.143052,1105.0
16,17.822895,-98.143052,1100.0
17,17.833826,-98.143052,1069.0
