punto,lat,lon,elevation
0,17.432014,-96.810003,1501.0
1,17.403837,-96.846902,2124.0
2,17.425617,-96.846902,1853.0
3,17.447397,-96.846902,1239.0
4,17.469177,-96.846902,1107.0
5,17.403837,-96.82132,1421.0
6,17.425617,-96.82132,1345.0
7,17.447397,-96.82132,1297.0
8,17.469177,-96.82132,1389.0
9,17.403837,-96.795739,2058.0
10,17.425617,-96.795739,1870.0
11,17.447397,-96.795739,2007.0
12,17.469177,-96.795739,1683.0
13,17.403837,-96.770157,2562.0
14,17.425617,-96.770157,2491.0
15,17.447397,-96.770157,2525.0
16,17.469177,-96.770157,2009.0
