punto,lat,lon,elevation
0,30.068554,-109.845443,884.0
1,29.911658,-109.989542,1419.0
2,30.013775,-109.989542,1206.0
3,30.115891,-109.989542,1018.0
4,29.911658,-109.872227,1041.0
5,30.013775,-109.872227,812.0
6,30.115891,-109.872227,874.0
7,30.218008,-109.872227,1063.0
8,29.911658,-109.754912,719.0
9,30.013775,-109.754912,800.0
10,30.115891,-109.754912,879.0
11,30.218008,-109.754912,977.0
12,29.911658,-109.637597,766.0
13,30.013775,-109.637597,938.0
14,30.115891,-109.637597,1286.0
15,30.218008,-109.637597,1118.0
