punto,lat,lon,elevation
0,20.692993,-101.87758,1723.0
1,20.662524,-102.007712,2046.0
2,20.723794,-102.007712,2009.0
3,20.785063,-102.007712,1739.0
4,20.601255,-101.941791,1892.0
5,20.662524,-101.941791,1804.0
6,20.723794,-101.941791,1728.0
7,20.785063,-101.941791,1724.0
8,20.601255,-101.87587,1943.0
9,20.662524,-101.87587,1725.0
10,20.723794,-101.87587,1718.0
11,20.785063,-101.87587,1726.0
12,20.601255,-101.809948,2261.0
13,20.662524,-101.809948,1776.0
14,20.723794,-101.809948,1775.0
15,20.785063,-101.809948,1844.0
16,20.723794,-101.744027,1710.0
