punto,lat,lon,elevation
0,16.529642,-97.692438,1319.0
1,16.482906,-97.805895,364.0
2,16.530256,-97.805895,739.0
3,16.577606,-97.805895,846.0
4,16.482906,-97.752424,507.0
5,16.530256,-97.752424,1309.0
6,16.577606,-97.752424,1062.0
7,16.482906,-97.698953,1225.0
8,16.530256,-97.698953,1337.0
9,16.577606,-97.698953,803.0
10,16.482906,-97.645482,858.0
11,16.530256,-97.645482,1124.0
12,16.577606,-97.645482,540.0
13,16.482906,-97.592011,1025.0
14,16.530256,-97.592011,1421.0
15,16.577606,-97.592011,386.0
