punto,lat,lon,elevation
0,20.29869,-102.047819,1793.0
1,20.241078,-102.133478,1686.0
2,20.279448,-102.133478,1936.0
3,20.317817,-102.133478,1976.0
4,20.356187,-102.133478,1704.0
5,20.241078,-102.086699,1739.0
6,20.279448,-102.086699,1909.0
7,20.317817,-102.086699,1959.0
8,20.356187,-102.086699,1741.0
9,20.241078,-102.039919,1811.0
10,20.279448,-102.039919,1778.0
11,20.317817,-102.039919,1776.0
12,20.356187,-102.039919,1724.0
13,20.279448,-101.993139,1739.0
14,20.317817,-101.993139,1702.0
15,20.356187,-101.993139,1675.0
