punto,lat,lon,elevation
0,19.35413,-101.175498,1692.0
1,19.243368,-101.284742,1889.0
2,19.317245,-101.284742,2305.0
3,19.391122,-101.284742,2206.0
4,19.243368,-101.213662,1546.0
5,19.317245,-101.213662,1785.0
6,19.391122,-101.213662,1713.0
7,19.464998,-101.213662,1992.0
8,19.243368,-101.142581,1165.0
9,19.317245,-101.142581,1215.0
10,19.391122,-101.142581,1800.0
11,19.464998,-101.142581,1854.0
12,19.243368,-101.071501,1612.0
13,19.317245,-101.071501,1531.0
14,19.391122,-101.071501,1931.0
15,19.464998,-101.071501,2104.0
