punto,lat,lon,elevation
0,17.807138,-97.870753,1898.0
1,17.782293,-97.893635,2041.0
2,17.798434,-97.893635,2090.0
3,17.814575,-97.893635,2082.0
4,17.830716,-97.893635,2004.0
5,17.782293,-97.876659,2119.0
6,17.798434,-97.876659,2060.0
7,17.814575,-97.876659,2114.0
8,17.830716,-97.876659,1974.0
9,17.782293,-97.859684,1931.0
10,17.798434,-97.859684,1806.0
11,17.814575,-97.859684,1854.0
12,17.830716,-97.859684,1776.0
13,17.782293,-97.842708,1748.0
14,17.798434,-97.842708,1700.0
15,17.814575,-97.842708,1724.0
16,17.830716,-97.842708,1956.0
