Lon,Lat,Clave,Edo,Est,Tmin,,
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,22.3,,
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,22.6,,
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,22.3,,
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,24.2,,
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,25.1,,
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,23.5,,
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,24.1,,
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,23.9,,
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,24.2,,
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,22.1,,
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,22.7,,
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,23.7,,
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,24.1,,
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,23.9,,
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,20.8,,
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,26.8,,
-90.37,19.94,PETENES,CAMP,Los Petenes Camp. SMN*,23.9,,
-91.77,18.66,CDCCA,CAMP,Ciudad del Carmen Camp. SMN*,25.0,,
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,9.4,,
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,14.0,,
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,13.4,,
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,12.8,,
-99.17,19.13,ELGUARDA,CDMX,El Guarda Cd. de MÈx. OCAVM*,8.3,,
-99.12,19.27,ENP1,CDMX,Escuela Nacional Preparatoria 1 Cd. de MÈx. UNAM*,13.9,,
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,11.0,,
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,14.3,,
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,14.8,,
-99.06,19.38,CCHO,CDMX,Colegio de Ciencias y Humanidades Oriente Cd. de MÈx. UNAM*,14.0,,
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,13.3,,
-99.13,19.42,ENP7,CDMX,Escuela Nacional Preparatoria 7 Cd. de MÈx. UNAM*,14.8,,
-99.17,19.45,CBIOLOGIPN,CDMX,Eescuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. OCAVM*,15.7,,
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,10.8,,
-99.09,19.48,ENP3,CDMX,Escuela Nacional Preparatoria 3 Cd. de MÈx. UNAM*,14.5,,
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,13.9,,
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,13.4,,
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,21.7,,
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,20.1,,
-107.88,26.87,INGCH,CHIH,San Ignacio Chih.,19.7,,
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,21.9,,
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,22.8,,
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,21.7,,
-107.91,27.22,URECH,CHIH,Urique Chih.,21.0,,
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,22.3,,
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,15.4,,
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,9.3,,
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,10.8,,
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,16.0,,
