Lon,Lat,Clave,Edo,Est,Tmin
-89.68,20.65,ABAYC,YUC,"Abalá, Yuc.",12.3
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",8.1
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",9.7
-92.80,16.55,ACACP,CHIS,"Acala, Chis.",15.8
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",22.7
-96.84,19.70,ACAVC,VER,"Acatlán, Ver.",7.3
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",9.2
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",3.3
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",-0.2
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",4.9
-100.71,20.03,ACNGJ,GTO,"Acámbaro, Gto.",6.0
-110.23,29.83,ACNSO,SON,"Aconchi, Son.",2.3
-98.91,19.64,ACOSE,MEX,"Acolman, Méx. SGIRPC*",5.3
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",4.1
-106.65,24.05,ACTSI,SIN,"Acatitán, Sin.",6.8
-96.59,19.50,ACTVC,VER,"Actopan, Ver.",15.1
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",4.4
-98.06,18.28,ADOPB,PUE,"Acatlán de Osorio, Pue.",11.2
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",6.8
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",14.3
-98.14,18.94,AFRPB,PUE,"Áfricam, Pue.",9.5
-102.31,21.90,AGSAG,AGS,"Aguascalientes, Ags.",4.7
-107.48,28.48,AGZCH,CHIH,"Abraham González, Chih.",-4.4
-97.92,18.85,AHAPB,PUE,"Ahuatepec, Pue.",6.3
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",11.5
-109.18,25.92,AHMSI,SIN,"Ahome, Sin.",10.7
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",1.7
-100.50,18.15,AJCGR,GRO,"Ajuchitlán, Gro.",17.7
-102.44,21.60,AJJJL,JAL,"Ajojúcar, Jal.",-0.6
-99.21,19.27,AJMSE,CDMX,"Ajusco Medio, Cd. de Méx. SGIRPC*",9.5
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",12.0
-99.16,19.15,AJUSE,CDMX,"Ajusco, Cd. de Méx. SGIRPC*",0.5
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",4.3
-107.38,25.09,AL2SI,SIN,"El Varejonal hidrométrica, Sin.",8.8
-97.68,20.93,ALAVC,VER,"Álamo Temapache, Ver.",12.6
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",-0.8
-116.91,32.44,ALRBN,BC,"Abelardo L. Rodríguez, B.C.",8.8
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",4.3
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",5.3
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",11.5
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",4.2
-99.38,18.60,AMCMR,MOR,"Amacuzac, Mor.",9.5
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",4.5
-92.78,16.40,ANGCP,CHIS,"Doctor Belisario Domínguez, Chis.",16.1
-100.13,27.24,ANHNL,NL,"Anáhuac, N.L.",6.1
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",3.2
-109.89,27.82,AOBSO,SON,"Álvaro Obregón, Son.",12.1
-97.85,20.41,APAPB,PUE,"Apapantilla, Pue.",12.6
-104.49,26.23,APRDR,DGO,"Ing. Benjamín Ortega Cantero, Dgo.",-0.5
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",7.1
-102.37,19.08,APTMC,MICH,"Apatzingán, Mich.",15.1
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",0.0
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",4.3
-99.22,19.57,ARBMX,MEX,"Las Arboledas, Méx.",5.4
-108.70,25.70,ARCSI,SIN,"Adolfo Ruíz Cortínes, Sin.",8.8
-109.11,27.23,ARCSO,SON,"Adolfo Ruíz Cortínes, Son.",10.5
-95.44,18.58,ARCVC,VER,"Ángel Rosario Cabada, Ver.",16.1
-109.09,30.07,ARISO,SON,"Aribabi, Son.",-1.5
-93.90,16.24,AROCP,CHIS,"Observatorio de Arriaga, Chis.",19.4
-99.82,24.10,ARRNL,NL,"Aramberri, N.L.",3.9
-110.17,30.34,ARZSO,SON,"Arizpe, Son.",-1.5
-99.91,24.32,ASCNL,NL,"La Ascensión, N.L.",-0.1
-101.63,20.50,ATBGJ,GTO,"Agua Tibia, Gto.",3.6
-98.35,21.02,ATCHD,HGO,"Atlapexco, Hgo.",12.2
-98.91,19.54,ATEMX,MEX,"Atenco, Méx.",4.5
-96.53,17.43,ATEOX,OAX,"Atepec, Oax.",8.2
-103.46,21.81,ATGZC,ZAC,"Atolinga, Zac.",1.0
-98.93,18.95,ATLMR,MOR,"Atlatlahucan, Mor.",10.7
-99.87,19.78,ATPMX,MEX,"Atlacomulco Prepa., Méx.",-0.3
-103.09,20.40,ATQJL,JAL,"Atequiza, Jal.",3.5
-98.42,18.92,ATXPB,PUE,"Atlixco, Pue.",8.1
-100.43,17.21,ATYGR,GRO,"Atoyac, Gro.",20.8
-97.88,20.39,AVCPB,PUE,"Ávila Camacho, Pue.",13.5
-107.47,25.03,AWSSI,SIN,"Andrew Weiss, Sin.",7.7
-107.26,28.77,BACCH,CHIH,"Bachíniva, Chih.",-3.3
-96.72,17.07,BAEOX,OAX,"Base Aérea, Oax.",11.4
-97.93,22.39,BALTP,TAMP,"Bombas Altamira, Tamps.",14.1
-96.94,19.59,BANVC,VER,"Banderilla, Ver.",8.1
-100.41,20.50,BATQT,QRO,"El Batán, Qro.",5.8
-104.06,19.91,BBAJL,JAL,"Basilio Vadillo, Jal.",10.6
-110.24,30.60,BCNSO,SON,"Bacanuchi, Son.",-2.6
-108.93,30.36,BCRSO,SON,"Bacerac, Son.",0.5
-103.72,22.41,BCSJL,JAL,"Bocas, Jal.",-0.8
-91.48,17.43,BDCTB,TAB,"Boca del Cerro, Tab.",18.5
-98.11,18.91,BDDPB,PUE,"Manuel Ávila Camacho, Pue.",4.3
-107.54,25.33,BDRSI,SIN,"Badiraguato, Sin.",5.1
-89.22,19.88,BECYC,YUC,"Becanchén, Yuc.",16.4
-99.16,19.37,BJUSE,CDMX,"Benito Juárez, Cd. de Méx. SGIRPC*",9.0
-98.96,21.75,BLMSL,SLP,"Ballesmi, S.L.P.",11.4
-110.22,30.00,BNMSO,SON,"Banamichi, Son.",4.1
-89.74,20.00,BOLCA,CAMP,"Bolonchén, Camp.",18.0
-93.15,16.64,BOQCP,CHIS,"Boquerón, Chis.",16.5
-95.93,16.65,BOQOX,OAX,"Boquilla 1, Oax.",14.2
-99.12,24.08,BR1TP,TAMP,"El Barretal Uno, Tamps.",8.8
-96.93,19.48,BRIVC,VER,"Briones, Ver.",8.6
-101.84,21.05,BRRGJ,GTO,"El Barrial, Gto.",4.9
-99.22,24.10,BRRTP,TAMP,"El Barretal, Tamps.",7.9
-102.18,21.74,BRTAG,AGS,"San Bartolo, Ags.",0.6
-108.21,28.21,BSSCH,CHIH,"Basaseachi, Chih.",-5.9
-102.95,22.82,BTEZC,ZAC,"Ramón López Velarde, Zac.",0.7
-107.72,27.03,BTPCH,CHIH,"Batopilas, Chih.",9.8
-107.90,27.90,BTVCH,CHIH,"Batovira, Chih.",-3.9
-103.61,19.25,BVSCM,COL,"Buenavista, Col.",14.1
-99.40,18.46,BVSGR,GRO,"Buena Vista, Gro.",12.4
-99.74,24.99,CABNL,NL,"Cabezones, N.L.",4.8
-92.72,15.35,CACCP,CHIS,"Cacaluta, Chis.",19.8
-107.93,30.38,CAGCH,CHIH,"Observatorio de Nuevo Casas Grandes, Chih.",0.1
-104.70,24.00,CAGDR,DGO,"Campo Agrícola, Dgo.",0.1
-100.66,18.36,CALGR,GRO,"Ciudad Altamirano, Gro.",18.1
-99.70,19.33,CALMX,MEX,"Calixtlahuaca, Méx.",-0.9
-99.58,24.87,CAMNL,NL,"Camacho, N.L.",7.2
-90.58,19.30,CANCA,CAMP,"Canasayab, Camp.",18.0
-100.27,25.80,CANNL,NL,"El Canadá, N.L.",7.8
-86.82,21.16,CANQR,QROO,"Cancún, Q. Roo.",21.1
-89.08,20.46,CANYC,YUC,"Cantamayec, Yuc.",18.2
-91.76,18.65,CARCA,CAMP,"El Carmen, Camp.",21.6
-99.44,24.98,CARNL,NL,"Carmen de los Elizondo Linares, N.L.",5.3
-100.44,20.60,CARQT,QRO,"Carrillo, Qro.",7.0
-93.38,18.00,CARTB,TAB,"Cárdenas, Tab.",19.7
-92.48,16.31,CASCP,CHIS,"Cascajal, Chis.",13.7
-87.87,20.72,CATYC,YUC,"Catzín, Yuc.",17.3
-104.80,24.52,CB2DR,DGO,"Caboraca hidrométrica, Dgo.",-0.4
-101.46,20.32,CBLMC,MICH,"Casa Blanca, Mich.",4.1
-104.81,24.54,CBRDR,DGO,"Caboraca, Dgo.",-0.3
-102.06,26.98,CCGCL,COAH,"Cuatro Ciénegas, Coah.",4.2
-99.70,17.67,CCHGR,GRO,"Chichihualco, Gro.",11.0
-99.28,25.71,CCHNL,NL,"Cuchillo Solidaridad, N.L.",7.0
-111.66,25.01,CCNBS,BCS,"Observatorio de Ciudad Constitución, B.C.S.",7.5
-105.17,27.69,CCOCH,CHIH,"Ciudad Camargo, Chih.",1.8
