Lon,Lat,Clave,Edo,Est,Tmin
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,11.7
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,11.9
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,12.9
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,13.3
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,10.1
-102.68,22,CDRAG,AGS,La Codorniz Ags.,12.2
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,10.7
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,11.1
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,10.3
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,11.5
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,11.3
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,4.8
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,9.5
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,11.3
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,9.9
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,7.0
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,4.3
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,11.9
-102.36,21.97,UAALAPOSTA,AGS,Univ. AutÛnoma de Aguascalientes La Posta Ags. SGT*,11.4
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,9.2
-102,22.02,NVLAG,AGS,El Novillo Ags.,8.0
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,7.4
-102.59,22.18,ALMAG,AGS,Alamitos Ags.,6.3
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,7.8
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,11.7
-102.46,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,11.3
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,11.2
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,13.8
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,11.8
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,5.2
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,13.6
-116.83,32.47,EFLBN,BC,El Florido B.C.,13.8
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,12.6
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,14.0
-115.27,32.39,MXCBN,BC,Mexicali B.C.,17.7
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,14.1
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,15.3
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,22.0
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,12.7
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,18.9
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,12.1
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,13.8
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,12.2
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,15.2
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,12.7
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,17.7
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,5.2
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,15.0
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,16.0
-115.46,32.67,MEXBN,BC,Mexicali B.C. SMN*,17.7
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,6.3
-116.6,31.89,PLZBN,BC,Presa LÛpez Zamora B.C. SMN*,13.9
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,12.8
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,15.4
-115.19,32.41,ENVOLEONob,BC,Observatorio de Ejido Nuevo LeÛn B.C. SMN*,14.1
-115.38,32.63,MEXICALIOB,BC,Mexicali Observatorio B.C. SMN*,15.9
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,22.1
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,23.6
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,23.4
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,19.4
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,18.6
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,18.5
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,19.5
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,21.3
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,23.2
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,15.9
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,19.9
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,20.9
-110,24.08,SARBS,BCS,El Sargento B.C.S.,20.7
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,10.1
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,14.3
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,18.1
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,14.2
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,22.4
-112.48,26.26,SANJUANICO,BCS,San Juanico B.C.S. SMN*,19.3
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,22.3
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,16.1
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,22.1
-112.1,27.09,STAROSALIAMAR,BCS,Santa RosalÌa B.C.S. SEMAR*,21.2
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,18.2
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo DÌçaz Ordaz B.C.S. SMN*,14.4
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,21.1
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,20.4
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,22.8
-110.37,24.1,LAPAZMAR,BCS,La Paz B.C.S. SEMAR*,24.3
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.2
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,22.4
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,22.2
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,23.5
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,24.5
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,23.0
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,22.4
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,23.7
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,21.3
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,22.2
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,22.8
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,23.2
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,23.0
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,23.0
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,22.8
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,27.1
-91.77,18.66,CDCCA,CAMP,Ciudad del Carmen Camp. SMN*,25.3
-91.8,18.65,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,25.5
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,23.1
-89.89,18.36,CALAKMUL,CAMP,Calakmul Camp. SMN*,21.2
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,9.2
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,13.2
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,12.1
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,11.3
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,9.7
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,13.5
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,12.8
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,9.6
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,13.2
-99.17,19.45,CBIOLOGIPN,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. OCAVM*,14.0
-99.15,19.5,CBIIDF,CDMX,Escuela de Ciencias BiolÛgicas 2 Cd. de MÈx. SMN*,13.9
-99.07,19.44,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de MÈxico Cd. de MÈx.*,13.1
-98.99,19.18,MPASE,CDMX,Milpa Alta Cd. de MÈx. SGIRPC*,11.2
-99.15,19.2,TOPSE,CDMX,Topilejo Cd. de MÈx. SGIRPC*,9.0
-99.01,19.25,TAHSE,CDMX,Tl·huac Cd. de MÈx. SGIRPC*,11.8
-99.1,19.3,UAXSE,CDMX,UAM Xochimilco Cd. de MÈx. SGIRPC*,12.3
-99.2,19.33,PEDSE,CDMX,Pedregal Cd. de MÈx. SGIRPC*,13.2
-99.26,19.36,SANSE,CDMX,Santa Ana Cd. de MÈx. SGIRPC*,10.6
-99.26,19.36,SFESE,CDMX,Santa Fe Cd. de MÈx. SGIRPC*,11.6
-99.29,19.37,CUASE,CDMX,Cuajimalpa Cd. de MÈx. SGIRPC*,11.1
-99.16,19.37,BJUSE,CDMX,Benito Ju·rez Cd. de MÈx. SGIRPC*,14.3
-99.2,19.4,MGHSE,CDMX,Miguel Hidalgo Cd. de MÈx. SGIRPC*,14.1
-99.15,19.41,HGMSE,CDMX,Hospital General de MÈxico Cd. de MÈx. SGIRPC*,14.3
-99.12,19.42,MERSE,CDMX,Merced Cd. de MÈx. SGIRPC*,14.5
-99.15,19.43,SGISE,CDMX,SGIRPC Col Ju·rez Cd. de MÈx. SGIRPC*,13.9
-99.22,19.44,IBMSE,CDMX,Legaria Cd. de MÈx. SGIRPC*,13.1
-99.15,19.48,LAASE,CDMX,Lab. de An·lisis Ambiental Cd. de MÈx. SGIRPC*,13.3
-99.08,19.4,AGOSE,CDMX,AgrÌcola Oriental Cd. de MÈx. SGIRPC*,13.8
-99.09,19.48,GAMSE,CDMX,Gustavo A. Madero Cd. de MÈx. SGIRPC*,14.3
-99.15,19.31,SURSE,CDMX,Santa ⁄rsula Cd. de MÈx. SGIRPC*,12.3
-99.07,19.36,UIZSE,CDMX,UAM Iztapalapa Cd. de MÈx. SGIRPC*,13.5
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,9.3
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,17.3
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,16.3
-107.88,26.87,INGCH,CHIH,San Ignacio Chih.,16.4
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,17.1
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,17.6
-104.91,27.13,JMNCH,CHIH,JimÈnez Chih.,9.5
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,18.8
-107.91,27.22,URECH,CHIH,Urique Chih.,18.0
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,15.3
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,10.9
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,13.2
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,15.4
