Lon,Lat,Clave,Edo,Est,Tmin
-102.29,21.85,76571,AGS,AGUASCALIENTES,14.2
-102.43,21.92,ABRAG,AGS,Abelardo L. Rodríguez. Ags.,12.0
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,12.6
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,13.9
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,14.2
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,14.0
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,15.5
-102,21.9,CNSAG,AGS,Los Conos Ags.,12.7
-102.68,22,CDRAG,AGS,La Codorniz Ags.,14.3
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,12.9
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,13.0
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,12.9
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,13.0
-102.13,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,12.7
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,13.1
-102.3,22.36,CSOAG,AGS,Cosío Ags.,8.8
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,26.4
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,22.3
-115.93,30.52,ENBBN,BC,San Quintín (Ejido Nuevo) B.C.,18.5
-114.85,31.03,SFLBN,BC,San Felipe B.C.,29.7
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,18.4
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,15.8
-115.15,32.41,ENLBN,BC,Ejido Nuevo León B.C.,27.1
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,19.0
-116.83,32.47,EFLBN,BC,El Florido B.C.,18.2
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,17.5
-116.3,32.52,HNGBN,BC,El Hongo B.C.,15.5
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,25.3
-115.27,32.39,MXCBN,BC,Mexicali B.C.,29.9
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,20.3
-110.32,24.12,76405,BCS,LA PAZ,24.9
-111.35,26.02,76305,BCS,LORETO,27.8
-112.25,27.28,76253,BCS,STA. ROSALIA,24.6
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),27.6
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,27.7
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,24.6
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,23.0
-109.91,22.88,CSLBS,BCS,Cabo San Lucas B.C.S.,25.3
-109.71,23.12,SJCBS,BCS,San José del Cabo B.C.S.,22.3
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,20.7
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,23.6
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,24.9
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,25.6
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,20.6
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,26.2
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,25.9
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,25.2
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,25.0
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,20.3
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,27.8
-112,26.87,MLGBS,BCS,Mulege B.C.S.,27.1
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,24.5
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,15.8
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,19.4
-90.5,19.83,76695,CAMP,CAMPECHE,23.1
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,22.6
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,22.5
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,20.7
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,21.7
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,22.2
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,23.9
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,26.2
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,22.4
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,22.4
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,23.2
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,22.8
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,20.9
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,21.8
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,24.1
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,23.4
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,23.2
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,23.8
-90.11,20.18,HECCA,CAMP,Hecelchakan Camp.,21.5
-91.4,22.12,CAYOARENASMAR,CAMP,Cayo Arenas Camp. SEMAR*,27.9
-106.13,28.67,76225,CHIH,CHIHUAHUA,21.0
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,17.4
-107.95,30.37,76122,CHIH,NUEVO CASAS GRANDES,17.6
-107.82,28.95,76220,CHIH,TEMOSACHIC,15.6
-107.91,27.22,URIQUECFE,CHIH,Urique Chih. CFE*,22.2
-105.38,27.41,CL2CH,CHIH,Colina (hidrométrica) Chih.,16.6
-106.87,28.42,CUACH,CHIH,Cuauhtémoc Chih.,13.6
-106.03,28.67,76226,CHIH,CHIHUAHUA (AUTOMATICA),20.5
-107.7,28.76,C08243,CHIH,Tejolocachi Chih.,13.7
-105.96,28.77,C08270,CHIH,La Mesa Chih.,20.1
-106.5,29.05,C08099,CHIH,Majalca Chih.,12.8
-108.09,29.25,C08219,CHIH,Peñitas Chih.,10.2
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,7.2
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,16.9
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,22.1
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,22.5
-105.68,26.92,PRRCH,CHIH,Parral Chih.,17.2
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,23.7
-107.97,26.94,TUBARES2CFE,CHIH,Tubares 2 Chih. CFE*,23.2
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,22.6
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,18.3
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,22.5
-107.91,27.22,URECH,CHIH,Urique Chih.,22.5
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,23.3
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SMN*,19.0
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,19.0
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,20.0
-105.17,27.69,CCOCH,CHIH,Ciudad Camargo Chih.,16.6
-107.9,27.9,BTVCH,CHIH,Batovira Chih.,7.5
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,19.6
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,13.0
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,20.6
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,13.8
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,21.0
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,14.5
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,15.4
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,25.0
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,17.4
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,17.5
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,23.1
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,17.1
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,17.7
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,24.4
-106.97,26.1,GYCCH,CHIH,Guadalupe y Calvo Chih.,10.1
-93.9,16.24,76840,CHIS,ARRIAGA,23.8
-92.13,16.23,76848,CHIS,COMITAN,15.3
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,11.5
-92.25,14.92,76903,CHIS,TAPACHULA,23.6
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,21.7
-92.4,15,HUECP,CHIS,Huehuetán Chis.,23.8
-92.15,15.09,VTACANA,CHIS,Volcán Tacana Chis. SMN*,16.2
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. OCFS*,18.8
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,20.8
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,15.2
-92.03,16.74,ALTAMIRANO,CHIS,Altamirano Chis. SGT*,14.8
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,18.9
-92.91,17,BOCHIL,CHIS,Bochil Chis. OCFS*,16.4
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,23.7
-92.24,14.99,TAMCP,CHIS,Tapachula (Malpaso) Chis.,21.0
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,22.1
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,23.0
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,22.2
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,20.6
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,22.4
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,23.8
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,24.1
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,17.1
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,17.9
-92.11,15.78,SDOCP,CHIS,Santo Domingo Chis.,20.2
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,18.2
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,18.7
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,22.5
-92.67,15.92,REFCP,CHIS,Reforma Chis.,19.0
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,19.9
-92.1,16.2,COOCP,CHIS,Observatorio de Comitán Chis.,15.3
-93.27,16.23,VIFCP,CHIS,Villa Flores Chis.,18.5
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,23.8
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,19.1
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,20.9
-92.8,16.55,ACACP,CHIS,Acala Chis.,20.8
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,21.0
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,11.5
-92.62,16.74,SCRCP,CHIS,Puente Morelos (San Cristóbal Cabañas) Chis.,10.6
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,21.6
-93.09,16.76,TUXTLACFE,CHIS,Tuxtla Chis. CFE*,20.3
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,22.7
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla Gutiérrez Chis. SMN*,22.0
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,17.1
-92.82,16.94,SNACP,CHIS,Santa María Chis.,21.9
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,21.5
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,20.3
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,20.2
-93.33,17.12,YAMONHOCFE,CHIS,Yamonhó Chis. CFE*,20.6
-93.6,17.18,MALCP,CHIS,Nezahualcóyotl Chis.,23.8
-92.87,17.19,ARROYOGRANDE,CHIS,Arroyo Grande Chis. SGT*,14.2
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,22.1
-93.38,17.42,TAPILULA,CHIS,Tapilula Chis. SGT*,19.3
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,23.6
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,22.3
-101.42,26.91,76342,COAH,MONCLOVA,24.7
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,25.2
-101.02,25.38,76390,COAH,SALTILLO,16.0
-103.43,21.52,76382,COAH,TORREON,22.7
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,19.7
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,17.7
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,21.1
-100.52,28.7,76242,COAH,PIEDRAS NEGRAS (AUTOMATICA),25.6
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,24.5
-100.58,25.27,SAACL,COAH,San Antonio de las Alazanas Coah.,9.7
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,16.2
-101.02,25.38,STOCL,COAH,Saltillo Coah.,18.5
-103.45,25.53,TORREONOB,COAH,Observatorio de Torreón Coah. SMN*,22.5
-103.45,25.54,TORCL,COAH,Observatorio de Torreón Coah.,22.6
-103.47,25.54,CYTCL,COAH,Coyote Coah.,22.6
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,18.5
-102.98,25.76,SPECL,COAH,San Pedro Coah.,22.0
-100.66,26.84,CDLCL,COAH,Candela Coah.,25.3
-101.42,26.91,MCVCL,COAH,Monclova Coah.,24.9
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,23.8
-101,27.42,PRSCL,COAH,Progreso Coah.,23.2
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,23.9
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,24.9
-100.84,28.34,ADLCL,COAH,Allende Coah.,25.0
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,25.4
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,23.3
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,25.2
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,23.6
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,24.1
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,24.0
-102.18,25.44,PARCL,COAH,Parras Coah.,17.5
-103.72,19.24,76658,COL,COLIMA,22.4
-104.31,19.04,76654,COL,MANZANILLO,26.9
-103.87,19.17,LAECM,COL,La Esperanza Col.,20.6
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,24.2
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,24.0
-103.63,18.81,CLLCM,COL,Callejones Col.,25.0
-103.87,18.91,TCMCM,COL,Tecomán Col.,24.6
-104.32,19.04,MNZCM,COL,Manzanillo Col.,27.0
-103.88,19.11,DJLCM,COL,Derivadora Jala (Madrid) Col.,21.4
-103.8,19.21,CQMCM,COL,Coquimatlán Col.,22.7
-103.73,19.22,LPSCM,COL,La Posta Col.,22.4
-103.73,19.22,RDRCM,COL,Radar Col.,25.5
-103.61,19.25,BVSCM,COL,Buena Vista Col.,20.9
-103.82,19.27,PNTCM,COL,Peñitas Col.,22.9
-103.6,19.32,CUACM,COL,Cuauhtémoc Col.,21.5
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,13.2
-99.2,19.31,CCH Sur,DF,CCH Sur,13.7
-99.13,19.42,ENP 7,DF,EZEQUIEL A. CHAVEZ,12.0
-99.16,19.35,ENP 6,DF,ANTONIO CASO,13.6
-99.2,19.4,ENP 4,DF,VIDAL CASTAÑEDA Y N.,14.4
-99.12,19.27,ENP 1,DF,GABINO BARREDA,14.3
-99.06,19.38,CCH Oriente,DF,CCH Oriente,13.8
-99.18,19.33,CCA ,DF,CCA-UNAM,12.6
-99.14,19.27,ENP 5,DF,JOSÉ VASCONCELOS,13.1
-99.2,19.3,DATDF,DF,Desviación Alta Cd. de Méx.,9.0
-99.2,19.31,CCHS,DF,Colegio de Ciencias y Humanidades Sur Cd. de Méx. UNAM*,12.1
-99.28,19.38,Colegio Franco-Inglés,DF,Colegio Franco-Inglés,13.4
-99.1,19.38,ENP 2,DF,ERASMO CASTELLANOS,12.1
-99.2,19.4,ENP4,DF,Escuela Nacional Preparatoria 4 Cd. de Méx. UNAM*,13.7
-99.13,19.42,ENP7,DF,Escuela Nacional Preparatoria 7 Cd. de Méx. UNAM*,14.6
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,13.5
-99.07,19.47,SJADF,DF,San Juan de Aragón Cd. de Méx.,12.6
-99.09,19.48,GCNDF,DF,km 6+250 (Gran Canal) Cd. de Méx.,10.5
-99.14,19.48,CCH Vallejo,DF,CCH Vallejo,12.8
-99.14,19.52,CEADF,DF,Campamento Amealco Cd. de Méx.,11.4
-104.6,24.09,76423,DGO,DURANGO,13.5
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,18.2
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,17.1
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,16.1
-105.53,26,SBEDR,DGO,San Bernardo Dgo.,15.4
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,14.5
-104.67,23.87,SB2DR,DGO,Santiago Bayacora (hidro) Dgo.,14.8
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,14.9
-104.75,23.96,GVHDR,DGO,Guadalupe Victoria Dgo. (hidro),15.7
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,15.8
-104.7,24,CAGDR,DGO,Campo Agrícola Dgo.,14.0
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,13.6
-103.96,24,FV2DR,DGO,Francisco Villa (hidro) Dgo.,13.8
-104.67,24.03,DRGDR,DGO,Durango Dgo.,13.6
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,15.4
-104.75,24.5,CNTDR,DGO,Canatlán Dgo.,13.1
-104.8,24.52,CB2DR,DGO,Caboraca (hidro) Dgo.,11.8
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,11.9
-103.08,24.61,SELDR,DGO,Santa Elena Dgo.,13.8
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,23.5
-103.7,24.87,CNCDR,DGO,Cuencamé Dgo.,17.2
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,23.3
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,12.7
-103.28,25.07,LFLDR,DGO,La Flor Dgo.,19.2
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,17.4
-105.44,25.22,SACDR,DGO,Salomé Acosta Dgo.,15.3
-104.11,25.23,NZSDR,DGO,Nazas Dgo.,20.0
-104.07,25.26,AM2DR,DGO,Agustín Melgar Dgo. SMN*,16.6
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,21.7
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,16.2
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,20.4
-105.02,25.59,LCRDR,DGO,Lázaro Cárdenas Dgo.,18.4
-103.85,25.82,MPMDR,DGO,Mapimí Dgo.,22.6
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,6.0
-105.37,25.95,SMODR,DGO,Santa María del Oro Dgo.,10.9
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,9.9
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,18.9
-106.37,26.13,ROSDR,DGO,La Rosilla Dgo.,5.9
-104.49,26.23,APRDR,DGO,Ing. Benjamín Ortega Cantero Dgo.,17.6
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,14.4
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,11.4
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,12.1
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,17.9
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,15.9
-99.75,16.76,76805,GRO,ACAPULCO,25.0
-99.5,17.55,76762,GRO,CHILPANCINGO,18.3
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,21.5
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,17.5
-99.93,17.6,YXTGR,GRO,Yextla Gro.,15.4
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,13.1
-100.52,18.08,AFIGR,GRO,Andrés Figueroa Gro.,22.1
-100.89,18.46,CAIMANERACFE,GRO,Caimanera Gro. CFE*,23.0
-99.61,18.55,TAXGR,GRO,Taxco Gro.,16.7
-98.41,16.47,CNLGR,GRO,Cuajinicuilapa Gro.,24.1
-98.43,16.68,OMEGR,GRO,Ometepec Gro.,15.3
-99.24,16.76,LDGGR,GRO,Las Vigas Gro.,20.1
-99.75,16.76,ACUGR,GRO,Acapulco Gro. SMN*,23.9
-99.8,16.8,ODAGR,GRO,Observatorio de Acapulco Gro.,25.0
-99.91,16.82,ACAPULCOMAR,GRO,Acapulco Gro. SEMAR*,26.0
-99.91,16.85,ACAGR,GRO,Acapulco Gro.,24.2
-99.1,16.95,AYUGR,GRO,Ayutla Gro.,20.3
-100.02,16.96,LDCGR,GRO,Laguna de Coyuca Gro.,23.3
-99.78,16.97,K21GR,GRO,km 21 Gro.,23.5
-100.09,17.01,CDBGR,GRO,Coyuca de Benítez Gro.,24.1
-100.47,17.14,SJEGR,GRO,San Jerónimo Gro.,24.7
-99.53,17.17,TCOGR,GRO,Tierra Colorada Gro.,22.7
-100.43,17.21,ATYGR,GRO,Atoyac Gro.,21.4
-101.05,17.38,CYQGR,GRO,Coyuquilla Gro.,21.2
-99.37,17.47,MCHGR,GRO,Mochitlán Gro.,19.7
-99.45,17.48,PETGR,GRO,Petaquillas Gro.,16.1
-98.6,17.5,TLPGR,GRO,Tlapa Gro.,17.9
-99.5,17.55,CHIGR,GRO,Chilpancingo Gro.,17.5
-99.4,17.57,TXTGR,GRO,Tixtla Gro.,15.3
-99.52,17.58,AERGR,GRO,Aeropuerto de Chilpancingo Gro.,18.3
-99.5,17.6,ODZGR,GRO,Observatorio de Zumpango Gro.,17.1
-99.18,17.61,CHLGR,GRO,Chilapa Gro.,15.6
-99.7,17.67,CCHGR,GRO,Chichihualco Gro.,17.2
-98.74,17.78,OLNGR,GRO,Olinala Gro.,16.5
-99.98,17.79,TLAGR,GRO,Tlacotepec Gro.,11.1
-101.54,17.86,ZHTGR,GRO,Zihuatanejo Gro.,21.7
-98.49,17.9,XXHGR,GRO,Xochihuehuetlán Gro.,16.1
-101.23,18.06,ZIHUAQUIOCFE,GRO,Zihuaquío Gro. CFE*,17.8
-99.1,18.11,ATENANGOCFE,GRO,Atenango del Río Gro. CFE*,20.1
-100.5,18.15,AJCGR,GRO,Ajuchitlán Gro.,17.6
-99.55,18.35,IGLGR,GRO,Iguala Gro.,20.2
-100.66,18.36,CALGR,GRO,Ciudad Altamirano Gro.,23.2
-100.27,18.38,VGRGR,GRO,Vicente Guerrero Gro.,17.4
-101,18.42,LCLGR,GRO,La Calera Gro.,18.4
-99.4,18.46,BVSGR,GRO,Buena Vista Gro.,16.0
-100.67,18.7,EGLGR,GRO,El Gallo Gro.,20.4
-101.29,21.01,76577,GTO,GUANAJUATO,14.2
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,9.9
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,9.0
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,10.2
-100.5,21.22,POZGJ,GTO,Pozos Gto.,10.9
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,11.5
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,13.8
-100.72,20.03,ACNGJ,GTO,Acámbaro Gto.,13.8
-100.67,20.05,SLSGJ,GTO,Solís Gto.,14.4
-100.52,20.13,JCRGJ,GTO,Jerécuaro Gto.,13.4
